Species_Name,Disease_Name,DiseaseSymptoms
Birds,Duck Plague,"droopiness, excess thrust, swollen and sticky eyelids, discharge from eye and nostril, Ruffled feathers, Greenish white diarrhoea, unable to stand, protruding penis in male"
Birds,Egg Drop Syndrome,
Birds,Fowl Cholera,"Anorexia, Nasal Discharge, Sneezing, Coughing, Bloody Diarrhoea, Cyanosis of comb and wattles, Swollen comb and wattles"
Birds,Fowl Pox,"Over featherless area, Respiratory Distress"
Birds,Hydropericardial Syndrome (HPS),
Birds,Infectious Bursal Disease (Gumboro Disease),"Ruffled feathers, Diarrhoea, Soiling of vents, Pecking at vents, Ataxia, in clinical stage found, dullness, depression, ruffled feathers, whitish watery diarrhoea, dehydration, prostration with variable mortality according to concomitant infections, In sub-clinical stage, no specific signs except stunted growth and immune suppression"
Birds,Listeriosis,
Birds,Marek's Disease,"Paralysis of one or both legs, Paralysis of wings, Drooping or hanging of wings, One leg is extended forward and other backward, Blindness in eye form of disease, Incoordination"
Birds,New Castle Disease,"Respiratory Distress, Incoordination, closed eye, Drowsiness, loss of appetite, huddle together, Death occur without enough symptoms in per-acute VVNDV infection, variable according to strain of NDV, Spasms, Paralysis, Diarrhea, Torticollis, Swollen head, Greenish white diarrhoea, Fever, Gasping, Coughing, Sneezing, Rales, Tremors, Paralyzed Wings and Legs, Twisted Necks, Circling"
Birds,Others,
Birds,Pigeon Pox,
Birds,Pullorum Disease,"Dead in shell chicks, Drowsiness, Anorexia, Gasping, Soiling of vent, Whitish diarrhoea"
Birds,Salmonellosis,"High Fever, Anorexia diarrhea or dysentery, Faeces contain mucus blood, Colic, Fibrinous casts"
Birds,Sarcocystis,
Birds,Toxic Case,
Birds,Turkey Rhinotracheitis,
Birds,Vibriosis,
Buffaloes,Acid Indigestion,
Buffaloes,Actinobacillosis,
Buffaloes,Actinomycosis,"Chronic immobile hard painless swelling of jaw bones, anemia, Absence of tooth, loss of appetite, Breed Predisposition to Fragmented"
Buffaloes,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Buffaloes,Alkaline Indigestion,
Buffaloes,Anaplasmosis,"infected cattle will fall behind the rest of the herd and will not eat or drink, Persistent fever, Anorexia, Emaciation, Lacrimation, Nasal Discharge, Dyspnoea, decreased milk production and in some cases death of the animals, cattle can become extremely aggressive due to severe anaemia, clear uterine exudates and contain flocculent, Cattle 1 to 3 years old show more severe clinical signs, Weakness, Cows with light skin will initially look pale around eyes an muzzle but later become yellowish colour (jaundice), weight loss, Constipation, Abortions, Jaundice, anemia, Fever, icterus"
Buffaloes,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Buffaloes,Ascariasis,
Buffaloes,Ascites,
Buffaloes,Babesiosis,"Fever, anemia, High Fever, Passage of coffee coloured urinei.e. haemoglobinuria, Jaundice, hyper acute, hemolytic crisis to an in apparent, subclinical infection, In acute form of babesiosis pyrexia, Weakness, mucous membrane pallor, Depression, Malaise, Anorexia, Increase respiration and heart rate., haemoglobinuria.B.bovis involvement of Central nervous system, Jaundice is uncommon in B. gibsoni infection"
Buffaloes,Bacillary Haemoglobinuria,
Buffaloes,Black Leg/Black Quarter,"focal gangrenous, emphysematous myositis, loss of appetite, high mortality, crepitus swelling over thigh, upon incision darkish brown fluid oozes out, Fever(106-108*F), Lameness in affected leg, Creptating swelling over hip, Creptating swelling over back, Creptating swelling over Shoulder"
Buffaloes,Botulism,"Progressive muscle weakness, Paralysis affecting limbs head & neck incoordination, Inability to rise & lifthed, Chew & drooling of saliva"
Buffaloes,Bovine Anaplasmosis,
Buffaloes,Bovine Babesiosis,
Buffaloes,Bovine Malignant Catarrhal fever,
Buffaloes,Bovine Spongiform Encephalopathy,"Incubation period 6 months to 4 years, Hyperaesthesia, Ataxia, Staggering, Dashing head against hard objects, Grindindg of teeth, Dyspnoea"
Buffaloes,Bovine Tuberculosis (TB),
Buffaloes,Bovine Viral diarrhoea,
Buffaloes,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Buffaloes,Bunostomiasis,
Buffaloes,Campylobacteriosis (Epizootic abortion),"Abortion in the the 1st trimester, It is sexully transmitted diseases"
Buffaloes,Cobalt Deficiency,
Buffaloes,Coccidiosis,
Buffaloes,Colibacillosis,"Respiratory Distress, Diarrhea, Emaciation, Dullness, Depression, Drowsiness, loss of appetite, swollen abdomen, lameness/blindness"
Buffaloes,Contagious Bovine Pleuropneumonia,"High rise of Temperature, Malaise, Depression, Drop in Milk Production, Anorexia, Oedematous swelling of throat and dewlap, Abortion, panting, reluctant to move"
Buffaloes,Copper Deficiency,
Buffaloes,Demodicosis,
Buffaloes,Dermatophytosis (Ring Worm),
Buffaloes,Downer Cow Syndrome,
Buffaloes,Enteritis,
Buffaloes,Enterotoxaemia,
Buffaloes,Ephemeral Fever,"High rise of Temperature, stiffness, lameness, Muscular tremor with spontaneous recovery within few days"
Buffaloes,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Buffaloes,Fungal Mastitis,
Buffaloes,Haemonchosis,
Buffaloes,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Buffaloes,Heat Stroke,
Buffaloes,Hepatic Fascioliasis,
Buffaloes,Hypomagnesaemic Tetany,
Buffaloes,Hypothermia,
Buffaloes,Infectious Bovine Rhinotracheitis,"Fever, Nasal Discharge, kerato-conjunctivitis, Respiratory Distress, Abortion in females, Orchitis & infertility in male, Rhinitis, Dyspnoea, pustular vulvovaginitis"
Buffaloes,Ketosis,
Buffaloes,Leptospirosis,"Fever, icterus, Abortions"
Buffaloes,Listeriosis,
Buffaloes,Mastitis,"High Temperature, Hot and painful, Milk contains flakes or Blood clots, Changes on careful examination, Reduce milk yield, Fever, loss of appetite, Udder is hard and swollen"
Buffaloes,Metabolic Haemoglobinuria,
Buffaloes,Milk Fever,"hyper excitement, tetany, animal sitting on sternum and later stage there is lateral recumbancy of the body, apathetic to eat food"
Buffaloes,Monezia Sps,
Buffaloes,Nsasl Granuloma,
Buffaloes,Oesophagostomiasis,
Buffaloes,Osteomalacia,
Buffaloes,Others,
Buffaloes,Paraamphistomiasis,
Buffaloes,Paratuberculosis,"Chronic diarrhoea (may be continuous /intermittent), Faeces soft, Homogeneous fever is absent, Emmaciation"
Buffaloes,Psoroptic Mange,
Buffaloes,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Buffaloes,Rinderpest,"Fever usually persists for 3 days, Shooting diarrhea, Dehydration, Necrotic ulcers or erosions on oral mucus membrane, Salivation"
Buffaloes,Ruminal Tympany,
Buffaloes,Salmonellosis,"High Fever, Anorexia diarrhea or dysentery, Faeces contain mucus blood, Colic, Fibrinous casts"
Buffaloes,Scabies,"Decreased milk and meat production, Decreased growth rate, Can transmit bacteril, Viral, Irritation/itching, Anaemia, Loss of body weight, Restlessness, Loss of hair i.e. alopecia"
Buffaloes,Shock,
Buffaloes,Simple Indigestion,
Buffaloes,Stomatitis,
Buffaloes,Tetanus,
Buffaloes,Theileriosis,
Buffaloes,Thelaziasis,
Buffaloes,Toxemia,
Buffaloes,Toxic Case,
Buffaloes,Toxoplasmosis,
Buffaloes,Trichomoniasis,
Buffaloes,Trichostrongylosis,
Buffaloes,Trichuriosis,
Buffaloes,Trypanosomiasis,"Fever, Circling movement, Incoordination, Head pressing against hard objects, Poor apettite, Loss of body weight, wasting type of diseases, immunodefficiencies, oedema of the lower parts of the body, urticarial plaques and petechial haemorrhages of the serous membrane, abortion in case of camels and buffaloes, anemia, convulsions, Blind ness"
Buffaloes,Verminous Pneumonia,
Buffaloes,Vesicular Stomatitis,"Fever, Anorexia, Constipation, Vomition, Purplish decoloration of abdominal skin, Circling, Tremors, Incoordination, convulsions, Paralysis"
Buffaloes,Vibriosis,
Camelidae,Actinomycosis,"Chronic immobile hard painless swelling of jaw bones, anemia, Absence of tooth, loss of appetite, Breed Predisposition to Fragmented"
Camelidae,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Camelidae,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Camelidae,Others,
Camelidae,Toxic Case,
Cats,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Cats,Dermatophytosis (Ring Worm),
Cats,Feline calicivirus,
Cats,Others,
Cats,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Cats,Tapeworms,
Cats,Toxic Case,
Cats,Toxoplasmosis,
Cattle,Abortions,
Cattle,Acid Indigestion,
Cattle,Actinobacillosis,
Cattle,Actinomycosis,"Chronic immobile hard painless swelling of jaw bones, anemia, Absence of tooth, loss of appetite, Breed Predisposition to Fragmented"
Cattle,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Cattle,Alkaline Indigestion,
Cattle,Anaplasmosis,"infected cattle will fall behind the rest of the herd and will not eat or drink, Persistent fever, Anorexia, Emaciation, Lacrimation, Nasal Discharge, Dyspnoea, decreased milk production and in some cases death of the animals, cattle can become extremely aggressive due to severe anaemia, clear uterine exudates and contain flocculent, Cattle 1 to 3 years old show more severe clinical signs, Weakness, Cows with light skin will initially look pale around eyes an muzzle but later become yellowish colour (jaundice), weight loss, Constipation, Abortions, Jaundice, anemia, Fever, icterus"
Cattle,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Cattle,Ascariasis,
Cattle,Ascites,
Cattle,Aujeszky's Disease (Pseudo rabies),
Cattle,Babesiosis,"Fever, anemia, High Fever, Passage of coffee coloured urinei.e. haemoglobinuria, Jaundice, hyper acute, hemolytic crisis to an in apparent, subclinical infection, In acute form of babesiosis pyrexia, Weakness, mucous membrane pallor, Depression, Malaise, Anorexia, Increase respiration and heart rate., haemoglobinuria.B.bovis involvement of Central nervous system, Jaundice is uncommon in B. gibsoni infection"
Cattle,Bacillary Haemoglobinuria,
Cattle,Black Leg/Black Quarter,"focal gangrenous, emphysematous myositis, loss of appetite, high mortality, crepitus swelling over thigh, upon incision darkish brown fluid oozes out, Fever(106-108*F), Lameness in affected leg, Creptating swelling over hip, Creptating swelling over back, Creptating swelling over Shoulder"
Cattle,Bluetounge,"High rise of Temperature, salivation and lacrimation, Drooling of saliva, muzzles turns dry and burnt appearance, neck & back crack, cyanotic and bluish appearance of tongue, Abortion, udder swollen & ulceration in teat, Swelling of Lips, Tongue and Jaw, Fever, Nasal Discharge, lameness, Enteritis"
Cattle,Botulism,"Progressive muscle weakness, Paralysis affecting limbs head & neck incoordination, Inability to rise & lifthed, Chew & drooling of saliva"
Cattle,Bovine Anaplasmosis,
Cattle,Bovine Babesiosis,
Cattle,Bovine Ephemeral Fever,
Cattle,Bovine Malignant Catarrhal fever,
Cattle,Bovine Spongiform Encephalopathy,"Incubation period 6 months to 4 years, Hyperaesthesia, Ataxia, Staggering, Dashing head against hard objects, Grindindg of teeth, Dyspnoea"
Cattle,Bovine Tuberculosis (TB),
Cattle,Bovine Tuberculosis(Mycobacterium Bovis),
Cattle,Bovine Viral diarrhoea,
Cattle,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Cattle,Brucellosis (Brucella Melitensis),
Cattle,Brucellosis (Brucella suis),
Cattle,Bulls STD,
Cattle,Bunostomiasis,
Cattle,Campylobacteriosis (Epizootic abortion),"Abortion in the the 1st trimester, It is sexully transmitted diseases"
Cattle,Clostridial Diseases,
Cattle,Cobalt Deficiency,
Cattle,Coccidiosis,
Cattle,Colibacillosis,"Respiratory Distress, Diarrhea, Emaciation, Dullness, Depression, Drowsiness, loss of appetite, swollen abdomen, lameness/blindness"
Cattle,Contagious Bovine Pleuropneumonia,"High rise of Temperature, Malaise, Depression, Drop in Milk Production, Anorexia, Oedematous swelling of throat and dewlap, Abortion, panting, reluctant to move"
Cattle,Copper Deficiency,
Cattle,Cow Pox,
Cattle,Crimean Congo haemorrhagic fever,
Cattle,Demodicosis,
Cattle,Dermatophytosis (Ring Worm),
Cattle,Downer Cow Syndrome,
Cattle,Dystocia,
Cattle,Enteritis,
Cattle,Enterotoxaemia,
Cattle,Ephemeral Fever,"High rise of Temperature, stiffness, lameness, Muscular tremor with spontaneous recovery within few days"
Cattle,Epizootic Haemorrhagic disease,
Cattle,Equine encephalomyelitis (Eastern),
Cattle,Fascioliasis,
Cattle,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Cattle,Foot Rot,
Cattle,Fungal Mastitis,
Cattle,Haemonchosis,
Cattle,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Cattle,Heat Stroke,
Cattle,Hepatic Fascioliasis,
Cattle,Hydatid Disease,
Cattle,Hypocalceamia,
Cattle,Hypomagnesaemic Tetany,
Cattle,Hypothermia,
Cattle,Infectious Bovine Rhinotracheitis,"Fever, Nasal Discharge, kerato-conjunctivitis, Respiratory Distress, Abortion in females, Orchitis & infertility in male, Rhinitis, Dyspnoea, pustular vulvovaginitis"
Cattle,Japanese Encephalitis,
Cattle,Johne's Disease,
Cattle,Ketosis,
Cattle,Leptospirosis,"Fever, icterus, Abortions"
Cattle,Listeriosis,
Cattle,Mastitis,"High Temperature, Hot and painful, Milk contains flakes or Blood clots, Changes on careful examination, Reduce milk yield, Fever, loss of appetite, Udder is hard and swollen"
Cattle,Metabolic Haemoglobinuria,
Cattle,Milk Fever,"hyper excitement, tetany, animal sitting on sternum and later stage there is lateral recumbancy of the body, apathetic to eat food"
Cattle,Monezia Sps,
Cattle,New World Screwworm (Cochliomyia Hominivorax),
Cattle,Nsasl Granuloma,
Cattle,Oesophagostomiasis,
Cattle,Old World Screwworm (Chrysomya bezziana),
Cattle,Osteomalacia,
Cattle,Others,
Cattle,Paraamphistomiasis,
Cattle,Paratuberculosis,"Chronic diarrhoea (may be continuous /intermittent), Faeces soft, Homogeneous fever is absent, Emmaciation"
Cattle,Pinkeye,
Cattle,Pnuemonia,
Cattle,Psoroptic Mange,
Cattle,Q Fever,
Cattle,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Cattle,Rift Valleyfever,
Cattle,Rinderpest,"Fever usually persists for 3 days, Shooting diarrhea, Dehydration, Necrotic ulcers or erosions on oral mucus membrane, Salivation"
Cattle,Ringworm,
Cattle,Ruminal Tympany,
Cattle,Salmonellosis,"High Fever, Anorexia diarrhea or dysentery, Faeces contain mucus blood, Colic, Fibrinous casts"
Cattle,Scabies,"Decreased milk and meat production, Decreased growth rate, Can transmit bacteril, Viral, Irritation/itching, Anaemia, Loss of body weight, Restlessness, Loss of hair i.e. alopecia"
Cattle,Shock,
Cattle,Simple Indigestion,
Cattle,Stomatitis,
Cattle,Surra (Trypanosoma. Evansi),
Cattle,Tetanus,
Cattle,Theileriasis,"High fever lasting for several days, Ocular and nasal discharge, Dyspnea, Swelling/enlargement of superficial lymhnodes, Anaemia-pale mucous membrane, Jaundice- dark yellow colored urine, Anorexia, Lacrimation, Corneal Opacity, increased respiratory rate, diarrhea/blood stained mucous, Fever, anemia"
Cattle,Theileriosis,
Cattle,Thelaziasis,
Cattle,Theleiresiosis,
Cattle,Toxemia,
Cattle,Toxic Case,
Cattle,Toxoplasmosis,
Cattle,Traichinellosis,
Cattle,Trichomoniasis,
Cattle,Trichomonosis,"Early abortion, Mucopurulent vaginal discharge, Retention of placenta, Pyometra, Demonstration of organism in vaginal discharge"
Cattle,Trichostrongylosis,
Cattle,Trichuriosis,
Cattle,Trypanosomiasis,"Fever, Circling movement, Incoordination, Head pressing against hard objects, Poor apettite, Loss of body weight, wasting type of diseases, immunodefficiencies, oedema of the lower parts of the body, urticarial plaques and petechial haemorrhages of the serous membrane, abortion in case of camels and buffaloes, anemia, convulsions, Blind ness"
Cattle,Tularaemia,
Cattle,Verminous Pneumonia,
Cattle,Vesicular Stomatities (VS),"high rise of temperature within 12 hrs, Vesicular lesions containing serious fluids on the mouth, foot and inter digital space,udder, teats"
Cattle,Vibriosis,
Cattle,West Nile fever,
Cattle,Wooden Tongue,"Swelling of tongue & lymph nodes of head region, Protrusion of tongue, Salivation"
Cervidae,Toxic Case,
Dogs,Acariasis of Bees,"Abdomen Pelvic or perineal foreign body, anemia, Abnormal Posture"
Dogs,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Dogs,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Dogs,Canine Distemper,"Dullness, Depression, Diphasic fever, Ocular and nasal discharge, frequent cutaneous eruptions, Vomition, Abdominal pain, Haemorrhagic Enteritis in Pups, Restlessness, Excitement, Chewing Movements, Excessive Salivation and Convulsions"
Dogs,Canine Hepatitis,
Dogs,Canine influenza,attacking
Dogs,Canine Leptosprosis,
Dogs,Corona Virus Infection,
Dogs,Demodicosis,
Dogs,Dermatophytosis (Ring Worm),
Dogs,Hepatitis,
Dogs,Hydatid Disease,
Dogs,Infectious Canine Hepatitis,"Anorexia, Vomition, diarrhea and convulsion, High rise of temperature (105F)"
Dogs,Others,
Dogs,Parvovirus Infection,
Dogs,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Dogs,Scabies,"Decreased milk and meat production, Decreased growth rate, Can transmit bacteril, Viral, Irritation/itching, Anaemia, Loss of body weight, Restlessness, Loss of hair i.e. alopecia"
Dogs,Toxic Case,
Dogs,Toxoplasmosis,
Equidae,African Horse Sickness,
Equidae,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Equidae,Bovine Brucellosis (B. Abortus),"arthritis, Abortion in third trimester, Orchitis"
Equidae,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Equidae,Contagious Equine Metritis,
Equidae,Dermatophytosis (Ring Worm),
Equidae,Dourine,"Pyrexia, Mummification and local oedema of the genitalia and mammary glands, knuckling of the joints, Incoordination, Oedematous cutaneous eruptions, Facial Paralysis, ocular lesions, Anaemia, Emaciation, A pathognomonic sign is the oedematous plaque consisting of an elevated lesion in the skin, upto 5-8cm in diameter and 1cm thick"
Equidae,Equine colic,
Equidae,Equine Encephalomyelitis (Western),
Equidae,Equine Infectious Anaemia,
Equidae,Equine Rhinopneumonitis,
Equidae,Equine Viral Arteritis,
Equidae,Glanders,"Chronic nasal discharge, Cough, Dyspnea, Ulcers on nasal septum"
Equidae,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Equidae,Hydatid Disease,
Equidae,Others,
